Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Sponsors,Conference name,Conference date,Conference location,Conference code,Document Type,Publication Stage,Open Access,Source,EID
"Vashishtha S., Susan S.","57208887769;26423246100;","Fuzzy rule based unsupervised sentiment analysis from social media posts",2019,"Expert Systems with Applications","138",,"112834","","",,44,"10.1016/j.eswa.2019.112834","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069805425&doi=10.1016%2fj.eswa.2019.112834&partnerID=40&md5=93adfcab9263b61455f694f19e36ec3e","In this paper, we compute the sentiment of social media posts using a novel set of fuzzy rules involving multiple lexicons and datasets. The proposed fuzzy system integrates Natural Language Processing techniques and Word Sense Disambiguation using a novel unsupervised nine fuzzy rule based system to classify the post into: positive, negative or neutral sentiment class. We perform a comparative analysis of our method on nine public twitter datasets, three sentiment lexicons, four state-of-the-art approaches for unsupervised Sentiment Analysis and one state-of-the-art method for supervised machine learning. Traditionally, Sentiment Analysis of twitter data is performed using a single lexicon. Our results can give an insight to researchers to choose which lexicon is best for social media. The fusion of fuzzy logic with lexicons for sentiment classification provides a new paradigm in Sentiment Analysis. Our method can be adapted to any lexicon and any dataset (two-class or three-class sentiment). The experiments on benchmark datasets yield higher performance for our approach as compared to the state-of-the-art. © 2019 Elsevier Ltd","Fuzzy rule; Lexicon; Sentiment analysis; Social media; Twitter","Benchmarking; Fuzzy logic; Fuzzy rules; Learning algorithms; Sentiment analysis; Social networking (online); Supervised learning; Lexicon; NAtural language processing; Sentiment classification; Social media; State-of-the-art approach; Supervised machine learning; Twitter; Word Sense Disambiguation; Fuzzy inference",,,,,,Article,"Final","",Scopus,2-s2.0-85069805425
"Lafore R.","",[No title available],2001,"Object Oriented Programming in C++",,,,"","",,44,,,[No abstract available],,,,,,,,,"Final","",Scopus,2-s2.0-0038358827
"Singla P., Donaingos P.","10244352500;7003565655;","Memory-efficient inference in relational domains",2006,"Proceedings of the National Conference on Artificial Intelligence","1",,,"488","493",,43,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750696315&partnerID=40&md5=21b0b4a8fe02580cbe6aa372852eee2f","Propositionalization of a first-order theory followed by satisfiability testing has proved to be a remarkably efficient approach to inference in relational domains such as planning (Kautz & Selman 1996) and verification (Jackson 2000). More recently, weighted satisfiability solvers have been used successfully for MPE inference in statistical relational learners (Singla & Domingos 2005). However, fully instantiating a finite first-order theory requires memory on the order of the number of constants raised to the arity of the clauses, which significantly limits the size of domains it can be applied to. In this paper we propose LazySAT, a variation of the WalkSAT solver that avoids this blowup by taking advantage of the extreme sparseness that is typical of relational domains (i.e., only a small fraction of ground atoms are true, and most clauses are trivially satisfied). Experiments on entity resolution and planning problems show that LazySAT reduces memory usage by orders of magnitude compared to Walk-SAT, while taking comparable time to run and producing the same solutions. Copyright © 2006, American Association for Artificial Intelligence (www.aaai.org). All rights reserved.",,"Data structures; Finite element method; Learning systems; Problem solving; Statistical methods; Storage allocation (computer); Finite first order theory; Propositionalization; Relational domains; Satisfiability testing; Statistical relational learners; Relational database systems","American Association for Artificial Intelligence","21st National Conference on Artificial Intelligence and the 18th Innovative Applications of Artificial Intelligence Conference, AAAI-06/IAAI-06","16 July 2006 through 20 July 2006","Boston, MA",68475,Conference Paper,"Final","",Scopus,2-s2.0-33750696315
"Peng B., Li X., Gao J., Liu J., Wong K.-F.","56182809200;57194875411;55702627000;57189311527;7404759311;","Deep DYnA-Q: Integrating planning for task-completion dialogue policy learning",2018,"ACL 2018 - 56th Annual Meeting of the Association for Computational Linguistics, Proceedings of the Conference (Long Papers)","1",,,"2182","2192",,42,"10.18653/v1/p18-1203","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062523587&doi=10.18653%2fv1%2fp18-1203&partnerID=40&md5=52762121c002e88d56eb420919fd0acc","Training a task-completion dialogue agent via reinforcement learning (RL) is costly because it requires many interactions with real users. One common alternative is to use a user simulator. However, a user simulator usually lacks the language complexity of human interlocutors and the biases in its design may tend to degrade the agent. To address these issues, we present Deep Dyna-Q, which to our knowledge is the first deep RL framework that integrates planning for task-completion dialogue policy learning. We incorporate into the dialogue agent a model of the environment, referred to as the world model, to mimic real user response and generate simulated experience. During dialogue policy learning, the world model is constantly updated with real user experience to approach real user behavior, and in turn, the dialogue agent is optimized using both real experience and simulated experience. The effectiveness of our approach is demonstrated on a movie-ticket booking task in both simulated and human-in-the-loop settings. © 2018 Association for Computational Linguistics",,"Computational linguistics; Deep learning; Reinforcement learning; Human-in-the-loop; Language complexity; Policy learning; RL framework; Ticket booking; User behaviors; User experience; World model; Behavioral research","Apple;ByteDance;et al.;Facebook;Google;Samsung Research","56th Annual Meeting of the Association for Computational Linguistics, ACL 2018","15 July 2018 through 20 July 2018",,145927,Conference Paper,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85062523587
"Agarwal B., Mittal N.","55634231900;36642976800;","Text classification using machine learning methods-a survey",2014,"Advances in Intelligent Systems and Computing","236",,,"701","709",,42,"10.1007/978-81-322-1602-5_75","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928017675&doi=10.1007%2f978-81-322-1602-5_75&partnerID=40&md5=3bae97c51486741b8238aacbaf847e9b","Text classification is used to organize documents in a predefined set of classes. It is very useful inWeb content management, search engines; email filtering, etc. Text classification is a difficult task due to high- dimensional feature vector comprising noisy and irrelevant features. Various feature reduction methods have been proposed for eliminating irrelevant features as well as for reducing the dimension of feature vector. Relevant and reduced feature vector is used by machine learning model for better classification results. This paper presents various text classification approaches using machine learning techniques, and feature selection techniques for reducing the high-dimensional feature vector. © Springer India 2014.","Feature selection; Machine learning Algorithms; Text classification","Artificial intelligence; Classification (of information); Feature extraction; Information retrieval systems; Learning algorithms; Learning systems; Problem solving; Search engines; Soft computing; Vectors; Classification results; Content management; High dimensional feature; Machine learning methods; Machine learning models; Machine learning techniques; Selection techniques; Text classification; Text processing","","2nd International Conference on Soft Computing for Problem Solving, SocProS 2012","28 December 2012 through 30 December 2012",,116609,Conference Paper,"Final","",Scopus,2-s2.0-84928017675
"Mehler A., Lücking A., Weiß P.","13907942400;55918401600;36465862600;","A network model of interpersonal alignment in dialog",2010,"Entropy","12","6",,"1440","1483",,42,"10.3390/e12061440","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956414002&doi=10.3390%2fe12061440&partnerID=40&md5=cc51063ecc779707b225c0463a09da00","In dyadic communication, both interlocutors adapt to each other linguistically, that is, they align interpersonally. In this article, we develop a framework for modeling interpersonal alignment in terms of the structural similarity of the interlocutors' dialog lexica. This is done by means of so-called two-layer time-aligned network series, that is, a time-adjusted graph model. The graph model is partitioned into two layers, so that the interlocutors' lexica are captured as subgraphs of an encompassing dialog graph. Each constituent network of the series is updated utterance-wise. Thus, both the inherent bipartition of dyadic conversations and their gradual development are modeled. The notion of alignment is then operationalized within a quantitative model of structure formation based on the mutual information of the subgraphs that represent the interlocutor's dialog lexica. By adapting and further developing several models of complex network theory, we show that dialog lexica evolve as a novel class of graphs that have not been considered before in the area of complex (linguistic) networks. Additionally, we show that our framework allows for classifying dialogs according to their alignment status. To the best of our knowledge, this is the first approach to measuring alignment in communication that explores the similarities of graph-like cognitive representations. © 2010.","Alignment in communication; Graph distance measures; Linguistic networks; Mutual information of graphs; Quantitative network analysis; Structural coupling",,,,,,,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-77956414002
"Wu S., Hsiao L., Cheng X., Hancock B., Rekatsinas T., Levis P., Ré C.","34868994500;57202588153;57202584027;57192671855;36242517700;22835832700;10739281400;","Fonduer: Knowledge base construction from richly formatted data",2018,"Proceedings of the ACM SIGMOD International Conference on Management of Data",,,,"1301","1316",,41,"10.1145/3183713.3183729","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048825604&doi=10.1145%2f3183713.3183729&partnerID=40&md5=b72981cc6bbdd508a686b2a972be7798","We focus on knowledge base construction (KBC) from richly formatted data. In contrast to KBC from text or tabular data, KBC from richly formatted data aims to extract relations conveyed jointly via textual, structural, tabular, and visual expressions. We introduce Fonduer, a machine-learning-based KBC system for richly formatted data. Fonduer presents a newdata model that accounts for three challenging characteristics of richly formatted data: (1) prevalent document-level relations, (2) multimodality, and (3) data variety. Fonduer uses a new deep-learning model to automatically capture the representation (i.e., features) needed to learn how to extract relations from richly formatted data. Finally, Fonduer provides a new programming model that enables users to convert domain expertise, based on multiple modalities of information, to meaningful signals of supervision for training a KBC system. Fonduer-based KBC systems are in production for a range of use cases, including at a major online retailer. We compare Fonduer against state-ofthe-art KBC approaches in four different domains. We show that Fonduer achieves an average improvement of 41 F1 points on the quality of the output knowledge base-and in some cases produces up to 1.87× the number of correct entries-compared to expertcurated public knowledge bases. We also conduct a user study to assess the usability of Fonduer's new programming model. We show that after using Fonduer for only 30 minutes, non-domain experts are able to design KBC systems that achieve on average 23 F1 points higher quality than traditional machine-learning-based KBC approaches. © 2018 Association for Computing Machinery.",,"Artificial intelligence; Expert systems; Online systems; Different domains; Domain expertise; Knowledge-base construction; Learning models; Multiple modalities; Online retailers; Programming models; Public knowledge; Deep learning","ACM SIGMOD;et al.;Facebook;Microsoft;Oracle;Tableau","44th ACM SIGMOD International Conference on Management of Data, SIGMOD 2018","10 June 2018 through 15 June 2018",,136864,Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85048825604
"Fan C.-T., Wang Y.-K., Huang C.-R.","36696452300;35281195900;35326748400;","Heterogeneous information fusion and visualization for a large-scale intelligent video surveillance system",2017,"IEEE Transactions on Systems, Man, and Cybernetics: Systems","47","4","7428948","593","604",,41,"10.1109/TSMC.2016.2531671","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017619710&doi=10.1109%2fTSMC.2016.2531671&partnerID=40&md5=159b6549bffbd9a83336321583120d7f","Wide-area monitoring for a smart community can be challenging in systems engineering because of its large scale and heterogeneity at the sensor, algorithm, and visualization levels. A smart interface to visualize high-level information fused from a diversity of low-level surveillance data, and to facilitate rapid response of events, is critical for the design of the system. This paper presents an event-driven visualization mechanism fusing multimodal information for a large-scale intelligent video surveillance system. The mechanism proactively helps security personnel intuitively be aware of events through close cooperation among visualization, data fusion, and sensor tasking. The visualization not only displays 2-D, 3-D, and geographical information within a condensed form of interface but also automatically shows the only important video streams corresponding to spontaneous alerts and events by a decision process called display switching arbitration. The display switching arbitration decides the importance of cameras by score ranking that considers event urgency and semantic object features. This system has been successfully deployed in a campus to demonstrate its usability and efficiency for an installation with two camera clusters that include dozens of cameras, and with a lot of video analytics to detect alerts and events. A further simulation comparing the display switching arbitration with similar camera selection methods shows that our method improves the visualization by selecting better representative camera views and reducing redundant switchover among multiview videos. © 2016 IEEE.","Display switching arbitration; information fusion; third-generation surveillance system (3GSS); visual surveillance; visualizability; visualization","Cameras; Data fusion; Data visualization; Flow visualization; Information fusion; Monitoring; Semantics; Sensor data fusion; Switching; Three dimensional computer graphics; Video streaming; Visualization; Camera selection methods; Geographical information; Heterogeneous information; Intelligent video surveillance systems; Multi-modal information; Surveillance systems; Visual surveillance; visualizability; Security systems",,,,,,Article,"Final","",Scopus,2-s2.0-85017619710
"Muggleton S., Lodhi H., Amini A., Sternberg M.J.E.","7003491952;8849911200;14021059700;7101911184;","Support vector inductive logic programming",2005,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","3735 LNAI",,,"163","175",,41,"10.1007/11563983_15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646363498&doi=10.1007%2f11563983_15&partnerID=40&md5=24fbaf2a44b73a10203d3d812da4b881","In this paper we explore a topic which is at the intersection of two areas of Machine Learning: namely Support Vector Machines (SVMs) and Inductive Logic Programming (ILP). We propose a general method for constructing kernels for Support Vector Inductive Logic Programming (SVILP). The kernel not only captures the semantic and syntactic relational information contained in the data but also provides the flexibility of using arbitrary forms of structured and non-structured data coded in a relational way. While specialised kernels have been developed for strings, trees and graphs our approach uses declarative background knowledge to provide the learning bias. The use of explicitly encoded background knowledge distinguishes SVILP from existing relational kernels which in ILP-terms work purely at the atomic generalisation level. The SVILP approach is a form of generalisation relative to background knowledge, though the final combining function for the ILP-leamed clauses is an SVM rather than a logical conjunction. We evaluate SVILP empirically against related approaches, including an industry-standard toxin predictor called TOPKAT. Evaluation is conducted on a new broad-ranging toxicity dataset (DSSTox). The experimental results demonstrate that our approach significantly outperforms all other approaches in the study. © Springer-Verlag Berlin Heidelberg 2005.",,"Database systems; Knowledge based systems; Learning systems; Semantics; Atomic generalisation level; Logical conjunction; Non-structured data; Support Vector Machines (SVM); Logic programming",,"8th International Conference on Discovery Science, DS 2005","8 October 2005 through 11 October 2005",,67553,Conference Paper,"Final","",Scopus,2-s2.0-33646363498
"Krishnan V., Das S., Chakrabarti S.","36824768800;57213459647;7403254661;","Enhanced answer type inference from questions using sequential models",2005,"HLT/EMNLP 2005 - Human Language Technology Conference and Conference on Empirical Methods in Natural Language Processing, Proceedings of the Conference",,,,"315","322",,41,"10.3115/1220575.1220615","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547441174&doi=10.3115%2f1220575.1220615&partnerID=40&md5=e042b4f32dbf298fb2da7363b5d82f9c","Question classification is an important step in factual question answering (QA) and other dialog systems. Several attempts have been made to apply statistical machine learning approaches, including Support Vector Machines (SVMs) with sophisticated features and kernels. Curiously, the payoff beyond a simple bag-ofwords representation has been small. We show that most questions reveal their class through a short contiguous token subsequence, which we call its informer span. Perfect knowledge of informer spans can enhance accuracy from 79.4% to 88% using linear SVMs on standard benchmarks. In contrast, standard heuristics based on shallow pattern-matching give only a 3% improvement, showing that the notion of an informer is non-trivial. Using a novel multi-resolution encoding of the question's parse tree, we induce a Conditional Random Field (CRF) to identify informer spans with about 85% accuracy. Then we build a meta-classifier using a linear SVM on the CRF output, enhancing accuracy to 86.2%, which is better than all published numbers. © 2005 Association for Computational Linguistics.",,"Learning algorithms; Pattern matching; Random processes; Support vector machines; Conditional random field; Meta-classifiers; Question Answering; Question classification; Sequential model; Statistical machine learning; Support vector machine (SVMs); Type inferences; Natural language processing systems","eLDa;et al.;Google;Microsoft;SHARP;XEROX - Research Centre Europe","Human Language Technology Conference and Conference on Empirical Methods in Natural Language Processing, HLT/EMNLP 2005, Co-located with the 2005 Document Understanding Conference, DUC and the 9th International Workshop on Parsing Technologies, IWPT","6 October 2005 through 8 October 2005","Vancouver, BC",86710,Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-34547441174
"Girardi-Schappo M., Tragtenberg M.H.R., Kinouchi O.","55795908100;6506060564;6701584586;","A brief history of excitable map-based neurons and neural networks",2013,"Journal of Neuroscience Methods","220","2",,"116","130",,40,"10.1016/j.jneumeth.2013.07.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887618382&doi=10.1016%2fj.jneumeth.2013.07.014&partnerID=40&md5=ee4150ee571581e0246ea6a591a4adc0","This review gives a short historical account of the excitable maps approach for modeling neurons and neuronal networks. Some early models, due to Pasemann (1993), Chialvo (1995) and Kinouchi and Tragtenberg (1996), are compared with more recent proposals by Rulkov (2002) and Izhikevich (2003). We also review map-based schemes for electrical and chemical synapses and some recent findings as critical avalanches in map-based neural networks. We conclude with suggestions for further work in this area like more efficient maps, compartmental modeling and close dynamical comparison with conductance-based models. © 2013 Elsevier B.V.","Bursting; Coupled map lattices; Difference equations; Excitable dynamics; Excitable media; Map-based neuron; Map-based synapses; Neural networks; Neuron models","brain mapping; computer model; Hodgkin Huxley equation; ion current; mathematical model; membrane potential; molecular dynamics; nerve cell; nerve cell excitability; nerve cell network; nerve conduction; oscillator; pacemaker; presynaptic nerve; priority journal; review; Bursting; Coupled map lattices; Difference equations; Excitable dynamics; Excitable media; Map-based neuron; Map-based synapses; Neural networks; Neuron models; Action Potentials; Animals; Humans; Models, Neurological; Nerve Net; Neural Networks (Computer); Neurons",,,,,,Review,"Final","All Open Access, Green",Scopus,2-s2.0-84887618382
"Lippi M., Frasconi P.","7003730739;7003350874;","Prediction of protein β-residue contacts by Markov logic networks with grounding-specific weights",2009,"Bioinformatics","25","18",,"2326","2333",,40,"10.1093/bioinformatics/btp421","https://www.scopus.com/inward/record.uri?eid=2-s2.0-69849084410&doi=10.1093%2fbioinformatics%2fbtp421&partnerID=40&md5=4ebb88a6c5957e9483062e29e4b7f469","Motivation: Accurate prediction of contacts between β-strand residues can significantly contribute towards ab initio prediction of the 3D structure of many proteins. Contacts in the same protein are highly interdependent. Therefore, significant improvements can be expected by applying statistical relational learners that overcome the usual machine learning assumption that examples are independent and identically distributed. Furthermore, the dependencies among β-residue contacts are subject to strong regularities, many of which are known a priori. In this article, we take advantage of Markov logic, a statistical relational learning framework that is able to capture dependencies between contacts, and constrain the solution according to domain knowledge expressed by means of weighted rules in a logical language. Results: We introduce a novel hybrid architecture based on neural and Markov logic networks with grounding-specific weights. On a non-redundant dataset, our method achieves 44.9% F1 measure, with 47.3% precision and 42.7% recall, which is significantly better (P &lt; 0.01) than previously reported performance obtained by 2D recursive neural networks. Our approach also significantly improves the number of chains for which β-strands are nearly perfectly paired (36% of the chains are predicted with F1 ≥ 70% on coarse map). It also outperforms more general contact predictors on recent CASP 2008 targets. © The Author 2009. Published by Oxford University Press. All rights reserved.",,"ab initio calculation; accuracy; article; artificial neural network; beta sheet; classifier; computer prediction; controlled study; hidden Markov model; machine learning; priority journal; protein secondary structure; structural proteomics; Computational Biology; Databases, Protein; Markov Chains; Neural Networks (Computer); Protein Conformation; Proteins",,,,,,Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-69849084410
"Blunsom P., Kocik K., Curran J.R.","15043692000;15044608000;14628332800;","Question classification with log-linear models",2006,"Proceedings of the Twenty-Ninth Annual International ACM SIGIR Conference on Research and Development in Information Retrieval","2006",,,"615","616",,40,"10.1145/1148170.1148282","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750376143&doi=10.1145%2f1148170.1148282&partnerID=40&md5=4973c779dab8ee59bf61cd4de2a244fc","Question classification has become a crucial step in modern question answering systems. Previous work has demonstrated the effectiveness of statistical machine learning approaches to this problem. This paper presents a new approach to building a question classifier using log-linear models. Evidence from a rich and diverse set of syntactic and semantic features is evaluated, as well as approaches which exploit the hierarchical structure of the question classes.","Machine Learning; Maximum entropy; Question Answering; Question Classification","Entropy; Learning systems; Mathematical models; Optimization; Statistical methods; Hierarchical systems; Learning systems; Linear systems; Mathematical models; Problem solving; Semantics; Question Answering; Question Classification; Query languages; Query processing; Maximum entropy; Question answering; Question classification","ACM SIGIR","29th Annual International ACM SIGIR Conference on Research and Development in Information Retrieval","6 August 2006 through 11 August 2006","Seatttle, WA",68395,Conference Paper,"Final","",Scopus,2-s2.0-33750376143
"Sha L., Chang B., Sui Z., Li S.","56441043200;55837183200;23091994600;53984734300;","Reading and thinking: Re-read LSTM unit for textual entailment recognition",2016,"COLING 2016 - 26th International Conference on Computational Linguistics, Proceedings of COLING 2016: Technical Papers",,,,"2870","2879",,39,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031900378&partnerID=40&md5=b3ec0a5fa228533c1c379779b081181f","Recognizing Textual Entailment (RTE) is a fundamentally important task in natural language processing that has many applications. The recently released Stanford Natural Language Inference (SNLI1) corpus has made it possible to develop and evaluate deep neural network methods for the RTE task. Previous neural network based methods usually try to encode the two sentences and send them together into multi-layer perceptron, or use LSTM-RNN to link two sentence together while using attention mechanic to enhance the model's ability. In this paper, we propose to use the intensive reading mechanic, which means to re-read the sentence (read the sentence again) according to the memory of the other sentence for a better understanding of the sentence pair. The re-read process can be applied alternatively between the two sentences. Experiments show that we achieve results better than current state-of-art equivalents. © 1963-2018 ACL.",,"Computational linguistics; Deep neural networks; Natural language processing systems; Text processing; Multi layer perceptron; Natural languages; Neural network method; Recognizing textual entailments; Stanford; Textual entailment; Long short-term memory",,"26th International Conference on Computational Linguistics, COLING 2016","11 December 2016 through 16 December 2016",,136517,Conference Paper,"Final","",Scopus,2-s2.0-85031900378
"Qian M., Zhai C.","35146579100;35232046000;","Unsupervised feature selection for multi-view clustering on text-image web news data",2014,"CIKM 2014 - Proceedings of the 2014 ACM International Conference on Information and Knowledge Management",,,,"1963","1966",,39,"10.1145/2661829.2661993","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937622297&doi=10.1145%2f2661829.2661993&partnerID=40&md5=faaceb3ac7952ce9c2dfb3861d1c6266","Unlabeled high-dimensional text-image web news data are produced every day, presenting new challenges to unsuper-vised feature selection on multi-view data. State-of-the-art multi-view unsupervised feature selection methods learn pseudo class labels by spectral analysis, which is sensitive to the choice of similarity metric for each view. For textimage data, the raw text itself contains more discriminative information than similarity graph which loses information during construction, and thus the text feature can be directly used for label learning, avoiding information loss as in spectral analysis. We propose a new multi-view unsupervised feature selection method in which image local learning regularized orthogonal nonnegative matrix factorization is used to learn pseudo labels and simultaneously robust joint l2,1-norm minimization is performed to select discriminative features. Cross-view consensus on pseudo labels can be obtained as much as possible. We systematically evaluate the proposed method in multi-view textimage web news datasets. Our extensive experiments on web news datasets crawled from two major US media channels: CNN and FOXNews demonstrate the efficacy of the new method over state-of-the-art multi-view and single-view unsupervised feature selection methods. Copyright 2014 ACM.","Multi-view unsupervised feature selection","Factorization; Knowledge management; Matrix algebra; Spectrum analysis; 1-norm minimizations; Discriminative features; High-dimensional; Multi-view clustering; Nonnegative matrix factorization; Similarity metrics; State of the art; Unsupervised feature selection; Feature extraction","ACM SIGWEB;Baidu;et al.;Google;SAP;Special Interest Group on Information Retrieval (ACM SIGIR)","23rd ACM International Conference on Information and Knowledge Management, CIKM 2014","3 November 2014 through 7 November 2014",,109104,Conference Paper,"Final","",Scopus,2-s2.0-84937622297
"Kraskov A., Grassberger P.","6602907373;7005432814;","MIC: Mutual information based hierarchical clustering",2009,"Information Theory and Statistical Learning",,,,"101","123",,39,"10.1007/978-0-387-84816-7_5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891479270&doi=10.1007%2f978-0-387-84816-7_5&partnerID=40&md5=0a5da0c065963af3dc61ccbe289103e4","Clustering is a concept used in a huge variety of applications. We review a conceptually very simple algorithm for hierarchical clustering called in the following the mutual information clustering (MIC) algorithm. It uses mutual information (MI) as a similarity measure and exploits its grouping property: The MI between three objects X,Y, and Z is equal to the sum of the MI between X and Y, plus the MI between Z and the combined object (XY). We use MIC both in the Shannon (probabilistic) version of information theory, where the objects are probability distributions represented by random samples, and in the Kolmogorov (algorithmic) version, where the objects are symbol sequences. We apply our method to the construction of phylogenetic trees from mitochondrial DNA sequences and we reconstruct the fetal ECG from the output of independent components analysis (ICA) applied to the ECG of a pregnant woman. © 2009 Springer US.",,,,,,,,Book Chapter,"Final","All Open Access, Green",Scopus,2-s2.0-84891479270
"Smolensky P., Legendre G.","",[No title available],2006,"The Harmonic Mind",,,,"","",,39,,,[No abstract available],,,,,,,,,"Final","",Scopus,2-s2.0-34250883940
"Song L., Zhang Y., Wang Z., Gildea D.","57198355269;56066648800;53664832900;6603603942;","N-ary relation extraction using graph state LSTM",2020,"Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing, EMNLP 2018",,,,"2226","2235",,38,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078670482&partnerID=40&md5=302e0dd35677a24d6dc7d294ad2acb26","Cross-sentence n-ary relation extraction detects relations among n entities across multiple sentences. Typical methods formulate an input as a document graph, integrating various intra-sentential and inter-sentential dependencies. The current state-of-the-art method splits the input graph into two DAGs, adopting a DAG-structured LSTM for each. Though being able to model rich linguistic knowledge by leveraging graph edges, important information can be lost in the splitting procedure. We propose a graph-state LSTM model, which uses a parallel state to model each word, recurrently enriching state values via message passing. Compared with DAG LSTMs, our graph LSTM keeps the original graph structure, and speeds up computation by allowing more parallelization. On a standard benchmark, our model shows the best result in the literature. © 2018 Association for Computational Linguistics",,"Extraction; Graph structures; Knowledge management; Message passing; Natural language processing systems; Graph edges; Graph state; Input graphs; Linguistic knowledge; Parallelizations; Relation extraction; State values; State-of-the-art methods; Long short-term memory","Apple;Bloomberg;et al.;Facebook;Google;salesforce","2018 Conference on Empirical Methods in Natural Language Processing, EMNLP 2018","31 October 2018 through 4 November 2018",,158085,Conference Paper,"Final","",Scopus,2-s2.0-85078670482
"Dodge J., Gane A., Zhang X., Bordes A., Chopra S., Miller A.H., Szlam A., Weston J.","55365971500;57076664300;57221514997;18933923000;56248489500;57210582956;11539079600;8865128200;","Evaluating prerequisite qualities for learning end-to-end dialog systems",2016,"4th International Conference on Learning Representations, ICLR 2016 - Conference Track Proceedings",,,,"","",,38,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083950683&partnerID=40&md5=6bdff3b9d4da92a407d90ed72cbc2804","A long-term goal of machine learning is to build intelligent conversational agents. One recent popular approach is to train end-to-end models on a large amount of real dialog transcripts between humans (Sordoni et al., 2015; Vinyals & Le, 2015; Shang et al., 2015). However, this approach leaves many questions unanswered as an understanding of the precise successes and shortcomings of each model is hard to assess. A contrasting recent proposal are the bAbI tasks (Weston et al., 2015b) which are synthetic data that measure the ability of learning machines at various reasoning tasks over toy language. Unfortunately, those tests are very small and hence may encourage methods that do not scale. In this work, we propose a suite of new tasks of a much larger scale that attempt to bridge the gap between the two regimes. Choosing the domain of movies, we provide tasks that test the ability of models to answer factual questions (utilizing OMDB), provide personalization (utilizing MovieLens), carry short conversations about the two, and finally to perform on natural dialogs from Reddit. We provide a dataset covering ∼75k movie entities and with ∼3.5M training examples. We present results of various models on these tasks, and evaluate their performance. © ICLR 2016: San Juan, Puerto Rico. All Rights Reserved.",,"Conversational agents; End-to-end models; Learning machines; Long-term goals; Personalizations; Reasoning tasks; Synthetic data; Training example; Machine learning",,"4th International Conference on Learning Representations, ICLR 2016","2 May 2016 through 4 May 2016",,149803,Conference Paper,"Final","",Scopus,2-s2.0-85083950683
"Raza M., Gulwani S., Milic-Frayling N.","56394011400;55901318200;55663600700;","Compositional program synthesis from natural language and examples",2015,"IJCAI International Joint Conference on Artificial Intelligence","2015-January",,,"792","800",,38,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949750713&partnerID=40&md5=28f9ed4b409aef30fe5fe0f015437f73","Compositionality is a fundamental notion in computation whereby complex abstractions can be constructed from simpler ones, yet this property has so far escaped the paradigm of end-user programming from examples or natural language. Existing approaches restrict end users to only give holistic specifications of tasks, which limits the expressivity and scalability of these approaches to relatively simple programs in very restricted domains. In this paper we propose Compositional Program Synthesis (CPS): an approach in which tasks can be specified in a compositional manner through a combination of natural language and examples. We present a domain-agnostic program synthesis algorithm and demonstrate its application to an expressive string manipulation language. We evaluate our approach on complex tasks from online help forums that are beyond the scope of current state-of-the-art methods.",,"Artificial intelligence; Computational linguistics; Computer programming; Synthesis (chemical); Compositionality; Domain agnostics; End user programming; ITS applications; Natural languages; Program synthesis; Restricted-domain; State-of-the-art methods; Application programs","Alibaba.com;Department of Computer Science and Engineering at Universidad Nacional del Sur;Department of Computer Science at the School of Exact and Natural Sciences of Buenos Aires University;et al.;International Joint Conferences on Artificial Intelligence (IJCAI);Ministry of Science, Technology and Productive Innovation","24th International Joint Conference on Artificial Intelligence, IJCAI 2015","25 July 2015 through 31 July 2015",,116754,Conference Paper,"Final","",Scopus,2-s2.0-84949750713
