Key,Item Type,Publication Year,Author,Title,Abstract Note,Publication Title,DOI,Url,Date,Date Added,Date Modified
MLJ9UZEI,journalArticle,2020,"Huang, L.; Li, G.; Li, Y.; Lin, L.",Lightweight adversarial network for salient object detection,"Recent advance on salient object detection benefits mostly from the revival of Convolutional Neural Networks (CNNs). However, with these CNN based models, the predicted saliency map is usually incomplete, that is, spatially inconsistent with the corresponding ground truth, because of the inherent complexity of the object and the inaccuracy of object boundary detection resulted from regular convolution and pooling operations. Besides, the breakthrough on saliency detection accuracy of current state-of-the-art deep models comes at the expense of high computational cost, which contradicts its role as a pretreatment procedure for other computer vision tasks. To alleviate these issues, we propose a lightweight adversarial network for salient object detection, which simultaneously improves the accuracy and efficiency by enforcing higher-order spatial consistency via adversarial training and lowering the computational cost through lightweight bottleneck blocks, respectively. Moreover, multi-scale contrast module is utilized to sufficiently capture contrast prior for visual saliency reasoning. Comprehensive experiments demonstrate that our method is superior to the state-of-the-art works on salient object detection in both accuracy and efficiency. © 2019 Elsevier B.V.",Neurocomputing,10.1016/j.neucom.2019.09.100,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076550634&doi=10.1016%2fj.neucom.2019.09.100&partnerID=40&md5=22772a74e864dd5ed8c5c2bc21898f99,2020,2021-07-20 15:49:36,2021-07-20 15:49:36
C4VRB5SU,journalArticle,2020,"Wu, C.; Luo, G.; Guo, C.; Ren, Y.; Zheng, A.; Yang, C.",An attention-based multi-task model for named entity recognition and intent analysis of Chinese online medical questions,"In this paper, we propose an attention-based multi-task neural network model for text classification and sequence tagging and then apply it to the named entity recognition and the intent analysis of Chinese online medical questions. We found that the use of both attention and multi-task learning improved the performance of these tasks. Our method achieved superior performance in named entity recognition and intent analysis compared with other baseline methods; the method is a light-weight solution that is suitable for deployment on small servers. Furthermore, we took advantage of the model's capabilities for these two tasks and built a simple question-answering system for cardiovascular issues. Users and service providers can monitor the logic of the answers generated by this system. © 2020 Elsevier Inc.",Journal of Biomedical Informatics,10.1016/j.jbi.2020.103511,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088043934&doi=10.1016%2fj.jbi.2020.103511&partnerID=40&md5=ab1f5689a18e0402a213b6353e3cdd21,2020,2021-07-20 15:49:36,2021-07-20 15:49:36
TFKKNJ57,journalArticle,2021,"Davis, G.P.; Katz, G.E.; Gentili, R.J.; Reggia, J.A.",Compositional memory in attractor neural networks with one-step learning,"Compositionality refers to the ability of an intelligent system to construct models out of reusable parts. This is critical for the productivity and generalization of human reasoning, and is considered a necessary ingredient for human-level artificial intelligence. While traditional symbolic methods have proven effective for modeling compositionality, artificial neural networks struggle to learn systematic rules for encoding generalizable structured models. We suggest that this is due in part to short-term memory that is based on persistent maintenance of activity patterns without fast weight changes. We present a recurrent neural network that encodes structured representations as systems of contextually-gated dynamical attractors called attractor graphs. This network implements a functionally compositional working memory that is manipulated using top-down gating and fast local learning. We evaluate this approach with empirical experiments on storage and retrieval of graph-based data structures, as well as an automated hierarchical planning task. Our results demonstrate that compositional structures can be stored in and retrieved from neural working memory without persistent maintenance of multiple activity patterns. Further, memory capacity is improved by the use of a fast store-erase learning rule that permits controlled erasure and mutation of previously learned associations. We conclude that the combination of top-down gating and fast associative learning provides recurrent neural networks with a robust functional mechanism for compositional working memory. © 2021 Elsevier Ltd",Neural Networks,10.1016/j.neunet.2021.01.031,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101137555&doi=10.1016%2fj.neunet.2021.01.031&partnerID=40&md5=a0df50a5452361f7d5d07cc1de096c46,2021,2021-07-20 15:49:36,2021-07-20 15:49:36
3SI4RLKT,journalArticle,2021,"Zia, T.; Windridge, D.",A generative adversarial network for single and multi-hop distributional knowledge base completion,"Knowledge bases (KBs) inherently lack reasoning ability, limiting their effectiveness for tasks such as question–answering and query expansion. Machine-learning is hence commonly employed for representation learning in order to learn semantic features useful for generalization. Most existing methods utilize discriminative models that require both positive and negative samples to learn a decision boundary. KBs, by contrast, contain only positive samples, necessitating that negative samples are generated by replacing the head/tail of predicates with randomly-chosen entities. They are thus frequently easily discriminable from positive samples, which can prevent learning of sufficiently robust classifiers. Generative models, however, do not require negative samples to learn the distribution of positive samples; stimulated by recent developments in Generative Adversarial Networks (GANs), we propose a novel framework, Knowledge Completion GANs (KCGANs), for competitively training generative link prediction models against discriminative belief prediction models. KCGAN thus invokes a game between generator-network G and discriminator-network D in which G aims to understand underlying KB structure by learning to perform link prediction while D tries to gain knowledge about the KB by learning predicate/triplet classification. Two key challenges are addressed: 1) Classical GAN architectures’ inability to easily generate samples over discrete entities; 2) the inefficiency of softmax for learning distributions over large sets of entities. As a step toward full first-order logical reasoning we further extend KCGAN to learn multi-hop logical entailment relations between entities by enabling G to compose a multi-hop relational path between entities and D to discriminate between real and fake paths. KCGAN is tested on benchmarks WordNet and FreeBase datasets and evaluated on link prediction and belief prediction tasks using MRR and HIT@ 10, achieving best-in-class performance. © 2021 Elsevier B.V.",Neurocomputing,10.1016/j.neucom.2021.04.128,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108940773&doi=10.1016%2fj.neucom.2021.04.128&partnerID=40&md5=858f493b94639ee1fe9db18ed8b75e2f,2021,2021-07-20 15:49:36,2021-07-20 15:49:36
SEQFGB27,journalArticle,2015,"Herrero, P.; Pesl, P.; Reddy, M.; Oliver, N.; Georgiou, P.; Toumazou, C.",Advanced insulin bolus advisor based on run-to-run control and case-based reasoning,"This paper presents an advanced insulin bolus advisor for people with diabetes on multiple daily injections or insulin pump therapy. The proposed system, which runs on a smartphone, keeps the simplicity of a standard bolus calculator while enhancing its performance by providing more adaptability and flexibility. This is achieved by means of applying a retrospective optimization of the insulin bolus therapy using a novel combination of run-to-run (R2R) that uses intermittent continuous glucose monitoring data, and case-based reasoning (CBR). The validity of the proposed approach has been proven by in-silico studies using the FDA-accepted UVa-Padova type 1 diabetes simulator. Tests under more realistic in-silico scenarios are achieved by updating the simulator to emulate intrasubject insulin sensitivity variations and uncertainty in the capillarity measurements and carbohydrate intake. The CBR(R2R) algorithm performed well in simulations by significantly reducing the mean blood glucose, increasing the time in euglycemia and completely eliminating hypoglycaemia. Finally, compared to an R2R stand-alone version of the algorithm, the CBR(R2R) algorithm performed better in both adults and adolescent populations, proving the benefit of the utilization of CBR. In particular, the mean blood glucose improved from 166 ± 39 to 150 ± 16 in the adult populations (p = 0.03) and from 167 ± 25 to 162 ± 23 in the adolescent population (p = 0.06). In addition, CBR(R2R) was able to completely eliminate hypoglycaemia, while the R2R alone was not able to do it in the adolescent population. 2168-2194 © 2014 IEEE. Personal use is permitted, but republication/redistribution requires IEEE permission.",IEEE Journal of Biomedical and Health Informatics,10.1109/JBHI.2014.2331896,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929353053&doi=10.1109%2fJBHI.2014.2331896&partnerID=40&md5=9017c93720ae4e8607f9f5aa56bab86d,2015,2021-07-20 15:49:36,2021-07-20 15:49:36
6WYVAT6L,journalArticle,2019,"García, J.; Fernández, F.",Probabilistic policy reuse for safe reinforcement learning,"This work introduces Policy Reuse for Safe Reinforcement Learning, an algorithm that combines Probabilistic Policy Reuse and teacher advice for safe exploration in dangerous and continuous state and action reinforcement learning problems in which the dynamic behavior is reasonably smooth and the space is Euclidean. The algorithm uses a continuously increasing monotonic risk function that allows for the identification of the probability to end up in failure from a given state. Such a risk function is defined in terms of how far such a state is from the state space known by the learning agent. Probabilistic Policy Reuse is used to safely balance the exploitation of actual learned knowledge, the exploration of newactions, and the request of teacher advice in parts of the state space considered dangerous. Specifically, the π-reuse exploration strategy is used. Using experiments in the helicopter hover task and a business management problem, we show that the p-reuse exploration strategy can be used to completely avoid the visit to undesirable situations while maintaining the performance (in terms of the classical long-term accumulated reward) of the final policy achieved. © 2019 Association for Computing Machinery.",ACM Transactions on Autonomous and Adaptive Systems,10.1145/3310090,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063225311&doi=10.1145%2f3310090&partnerID=40&md5=94a4bd6a6d9d50b1b6f063046d54a054,2019,2021-07-20 15:49:36,2021-07-20 15:49:36
ZLR49V3N,journalArticle,2016,"Zhang, H.; Yao, D.; Ramakrishnan, N.; Zhang, Z.",Causality reasoning about network events for detecting stealthy malware activities,"Malicious software activities have become more and more clandestine, making them challenging to detect. Existing security solutions rely heavily on the recognition of known code or behavior signatures, which are incapable of detecting new malware patterns. We propose to discover the triggering relations on network requests and leverage the structural information to identify stealthy malware activities that cannot be attributed to a legitimate cause. The triggering relation is defined as the temporal and causal relationship between two events. We design and compare rule- and learning-based methods to infer the triggering relations on network data. We further introduce a user-intention based security policy for pinpointing stealthy malware activities based on a triggering relation graph. We extensively evaluate our solution on a DARPA dataset and 7 GB real-world network traffic. Results indicate that our dependence analysis successfully detects various malware activities including spyware, data exfiltrating malware, and DNS bots on hosts. With good scalability for large datasets, the learning-based method achieves better classification accuracy than the rule-based one. The significance of our traffic reasoning approach is its ability to detect new and stealthy malware activities. © 2016 The Authors.",Computers and Security,10.1016/j.cose.2016.01.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957038910&doi=10.1016%2fj.cose.2016.01.002&partnerID=40&md5=7c9f2b7da443d8976eacce7b86d7f805,2016,2021-07-20 15:49:36,2021-07-20 15:49:36
IY8TVGLD,journalArticle,2013,"Trinh, V.C.; Gonzalez, A.J.",Discovering contexts from observed human performance,"This paper describes an investigation to determine the technical feasibility of discovering and identifying the various contexts experienced by a human performer (called an actor) solely from a trace of time-stamped values of variables. More specifically, the goal of this research was to discover the contexts that a human actor experienced, while performing a tactical task in a simulated environment, the sequence of these contexts and their temporal duration.We refer to this process as the contextualization of the performance trace. In the process of doing this, we devised a context discovery algorithm called context partitioning and clustering (COPAC). The relevant variables that were observed in the trace were selected a priori by a human. The output of the COPAC algorithm was qualitatively compared with manual (human) contextualization of the same traces. One possible use of such automated context discovery is to help build autonomous tactical agents capable of performing the same tasks as the human actor. As such, we also quantitatively compared the results of using the COPAC-derived contexts with those obtained with human-derived contextualization in building autonomous tactical agents. Test results are described and discussed. © 2013 IEEE.",IEEE Transactions on Human-Machine Systems,10.1109/TSMC.2013.2262272,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890115811&doi=10.1109%2fTSMC.2013.2262272&partnerID=40&md5=1f255da2b1bcb0c728e2d3731a6d4664,2013,2021-07-20 15:49:36,2021-07-20 15:49:36
93KCINI8,journalArticle,2013,"Jiang, L.; Li, C.",An augmented value difference measure,"How to learn distances from categorical variables (nominal attributes) is a key problem in instance-based learning and other paradigms of machine learning. Recent work in distance learning has shown that a surprisingly simple Value Difference Metric (VDM), with strong assumptions of independence among attributes, is competitive with state-of-the-art distance functions such as Short and Fukunaga Metric (SFM) and Minimum Risk Metric (MRM). This fact raises the question of whether a distance function with less restrictive assumptions can perform even better. In order to answer this question, we proposed an augmented memory-based reasoning (MBR) transform. Based on our augmented MBR transform, we then developed an Augmented Value Difference Measure (AVDM) for learning distances from categorical variables. We experimentally tested our AVDM using 36 natural domains and three artificial Monk's domains, taken from the University of California at Irvine repository, and compared it to its competitor such as VDM, SFM, MRM, ODVDM, and MSFM. The compared results show that our AVDM can generally improve accuracy in domains that involve correlated attributes without reducing accuracy in ones that do not. © 2013 Elsevier Ltd. All rights reserved.",Pattern Recognition Letters,10.1016/j.patrec.2013.03.030,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876780565&doi=10.1016%2fj.patrec.2013.03.030&partnerID=40&md5=ad5fac3c1161e626d81ea2b43883cf58,2013,2021-07-20 15:49:36,2021-07-20 15:49:36
ECQUHWNM,journalArticle,2021,"Saini, S.K.; Gupta, R.",Artificial intelligence methods for analysis of electrocardiogram signals for cardiac abnormalities: state-of-the-art and future challenges,"Cardiovascular diseases (CVDs) in India and globally are the major cause of mortality, as revealed by the World Health Organization (WHO). The irregularities in the pace of heartbeats, called cardiac arrhythmias or heart arrhythmias, are one of the commonly diagnosed CVDs caused by ischemic heart disease, hypertension, alcohol intake, and stressful lifestyle. Other than the listed CVDs, the abnormality in the cardiac rhythm caused by the long term mental stress (stimulated by Autonomic Nervous System (ANS)) is a challenging issue for researchers. Early detection of cardiac arrhythmias through automatic electronic techniques is an important research field since the invention of electrocardiogram (ECG or EKG) and advanced machine learning algorithms. ECG (EKG) provides the record of variations in electrical activity associated with the cardiac cycle, used by cardiologists and researchers as a gold standard to study the heart function. The present work is aimed to provide an extensive survey of work done by researchers in the area of automated ECG analysis and classification of regular & irregular classes of heartbeats by conventional and modern artificial intelligence (AI) methods. The artificial intelligence (AI) based methods have emerged popularly during the last decade for the automatic and early diagnosis of clinical symptoms of arrhythmias. In this work, the literature is explored for the last two decades to review the performance of AI and other computer-based techniques to analyze the ECG signals for the prediction of cardiac (heart rhythm) disorders. The existing ECG feature extraction techniques and machine learning (ML) methods used for ECG signal analysis and classification are compared using the performance metrics like specificity, sensitivity, accuracy, positive predictivity value, etc. Some popular AI methods, which include, artificial neural networks (ANN), Fuzzy logic systems, and other machine learning algorithms (support vector machines (SVM), k-nearest neighbor (KNN), etc.) are considered in this review work for the applications of cardiac arrhythmia classification. The popular ECG databases available publicly to evaluate the classification accuracy of the classifier are also mentioned. The aim is to provide the reader, the prerequisites, the methods used in the last two decades, and the systematic approach, all at one place to further purse a research work in the area of cardiovascular abnormalities detection using the ECG signal. As a contribution to the current work, future challenges for real-time remote ECG acquisition and analysis using the emerging technologies like wireless body sensor network (WBSN) and the internet of things (IoT) are identified. © 2021, The Author(s), under exclusive licence to Springer Nature B.V.",Artificial Intelligence Review,10.1007/s10462-021-09999-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105218250&doi=10.1007%2fs10462-021-09999-7&partnerID=40&md5=7bd2cc6226cd159f5aca9acf55e63c98,2021,2021-07-20 15:49:37,2021-07-20 15:49:37
SG97K89D,journalArticle,2019,"Patel, D.; Shah, S.; Chhinkaniwala, H.",Fuzzy logic based multi document summarization with improved sentence scoring and redundancy removal technique,"Nowadays abundant amount of information is available on Internet which makes it difficult for the users to locate desired information. Automatic methods are needed to efficiently sieve and scavenge useful information from the Internet. Text summarization is identified and accepted as one of the solutions to find desired contents from one or more documents. The objective of proposed multi-document summarization is to gain good content coverage with information diversity. The proposed statistical feature based model utilizes the fuzzy model to deal with the imprecise and uncertainty of feature weight. Redundancy removal using cosine similarity is presented as enrichment to proposed work. The proposed approach is compared with DUC (Document Understanding Conference) participant systems and other summarization systems such as TexLexAn, ItemSum, Yago Summarizer, MSSF and PatSum using ROUGE measure on dataset DUC 2004. The experimental results show that our proposed work achieves a significant performance improvement over the other summarizers. © 2019",Expert Systems with Applications,10.1016/j.eswa.2019.05.045,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066788806&doi=10.1016%2fj.eswa.2019.05.045&partnerID=40&md5=dc17439ed577c1bf1eda54ad9a45e52f,2019,2021-07-20 15:49:37,2021-07-20 15:49:37
4AHSRKPA,journalArticle,2019,"Siebers, M.; Schmid, U.",Please delete that! Why should I?: Explaining learned irrelevance classifications of digital objects,"Dare2Del is an assistive system which facilitates intentional forgetting of irrelevant digital objects. For an assistive system to be helpful, the user has to trust the system’s decisions. Explanations are a crucial component in establishing this trust. We will introduce different types of explanations which can vary along different dimensions such as level of detail and modality suitable for different application contexts. We will outline the cognitive companion system Dare2Del which is intended to support users managing digital objects in a working environment. Core of Dare2Del is an interpretable machine learning mechanism which induces decision rules to classify whether a digital objects is irrelevant. In this paper, we focus on irrelevance of files. We formalize the decision making process as logic inference. Finally, we present a method to generate verbal explanations for irrelevance decisions and point out how such explanations can be constructed on different levels of details. Furthermore, we show how verbal explanations can be related to the path context of the file. We conclude with a short discussion of the scope and restrictions of our approach. © 2018, Springer-Verlag GmbH Germany, part of Springer Nature.",KI - Kunstliche Intelligenz,10.1007/s13218-018-0565-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076621680&doi=10.1007%2fs13218-018-0565-5&partnerID=40&md5=93f0e5712cbc369375697f12dac5d681,2019,2021-07-20 15:49:37,2021-07-20 15:49:37
IM4RNW4R,journalArticle,2017,"Kolb, S.; Paramonov, S.; Guns, T.; De Raedt, L.",Learning constraints in spreadsheets and tabular data,"Spreadsheets, comma separated value files and other tabular data representations are in wide use today. However, writing, maintaining and identifying good formulas for tabular data and spreadsheets can be time-consuming and error-prone. We investigate the automatic learning of constraints (formulas and relations) in raw tabular data in an unsupervised way. We represent common spreadsheet formulas and relations through predicates and expressions whose arguments must satisfy the inherent properties of the constraint. The challenge is to automatically infer the set of constraints present in the data, without labeled examples or user feedback. We propose a two-stage generate and test method where the first stage uses constraint solving techniques to efficiently reduce the number of candidates, based on the predicate signatures. Our approach takes inspiration from inductive logic programming, constraint learning and constraint satisfaction. We show that we are able to accurately discover constraints in spreadsheets from various sources. © 2017, The Author(s).",Machine Learning,10.1007/s10994-017-5640-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020207644&doi=10.1007%2fs10994-017-5640-x&partnerID=40&md5=c9bbe6830d2d265fd79962b5a25177e8,2017,2021-07-20 15:49:37,2021-07-20 15:49:37
IZAY6Y2T,journalArticle,2018,"Hu, T.; Oksanen, K.; Zhang, W.; Randell, E.; Furey, A.; Sun, G.; Zhai, G.",An evolutionary learning and network approach to identifying key metabolites for osteoarthritis,"Metabolomics studies use quantitative analyses of metabolites from body fluids or tissues in order to investigate a sequence of cellular processes and biological systems in response to genetic and environmental influences. This promises an immense potential for a better understanding of the pathogenesis of complex diseases. Most conventional metabolomics analysis methods exam one metabolite at a time and may overlook the synergistic effect of combining multiple metabolites. In this article, we proposed a new bioinformatics framework that infers the non-linear synergy among multiple metabolites using a symbolic model and subsequently, identify key metabolites using network analysis. Such a symbolic model is able to represent a complex non-linear relationship among a set of metabolites associated with osteoarthritis (OA) and is automatically learned using an evolutionary algorithm. Applied to the Newfoundland Osteoarthritis Study (NFOAS) dataset, our methodology was able to identify nine key metabolites including some known osteoarthritis-associated metabolites and some novel metabolic markers that have never been reported before. The results demonstrate the effectiveness of our methodology and more importantly, with further investigations, propose new hypotheses that can help better understand the OA disease. © 2018 Hu et al.",PLoS Computational Biology,10.1371/journal.pcbi.1005986,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044744016&doi=10.1371%2fjournal.pcbi.1005986&partnerID=40&md5=c42e699fe76e0c0cb905c3d257b2283d,2018,2021-07-20 15:49:37,2021-07-20 15:49:37
VXW8NFXN,journalArticle,2016,"Ban, J.-C.; Chang, C.-H.",The Spatial Complexity of Inhomogeneous Multi-layer Neural Networks,"Inhomogeneous multi-layer neural networks (IHMNNs) have been applied in various fields, for example, biological and ecological contexts. This work studies the learning problem of IHMNNs with an activation function f(x)=12(|x+1|-|x-1|) that derives from cellular neural networks, which can be adapted to the study of the vision systems of mammals. Applying the well-developed theory of symbolic dynamics, the explicit formulae of the topological entropy of the output and hidden spaces are given. We also demonstrate that, for any λ∈[0,log2] and > >0, parameters such that the topological entropy h of the hidden/output space of IHMNN that satisfies |h-λ|<ϵ exists. This means that the collection of topological entropies is dense in the closed interval [0,log 2], which leads to the fact that IHMNNs are universal machines in some sense and hence are more efficient in learning algorithms. This paper aims to provide a mathematical foundation for the illustration of the capability of machine learning, while the method we have adopted can be extended to the investigation of multi-layer neural networks with other activation functions. © 2014, Springer Science+Business Media New York.",Neural Processing Letters,10.1007/s11063-014-9400-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954373297&doi=10.1007%2fs11063-014-9400-7&partnerID=40&md5=3d899c07de8117595164b4833f9e9497,2016,2021-07-20 15:49:37,2021-07-20 15:49:37
CBUVV5TK,journalArticle,2021,"Amador-Domínguez, E.; Serrano, E.; Manrique, D.; Hohenecker, P.; Lukasiewicz, T.",An ontology-based deep learning approach for triple classification with out-of-knowledge-base entities,"Knowledge graphs (KGs) are one of the most common frameworks for knowledge representation. However, they suffer from a severe scalability problem that hinders their usage. KG embedding aims to provide a solution to this issue. Nonetheless, general approaches are incapable of representing and reasoning about information not previously contained in the graph. This paper proposes to leverage semantic and ontological information for a significant benefit of knowledge graph completion, focusing on triple classification. The goal of this task is to determine whether a given fact holds. Furthermore, this paper also considers the classification of facts that include entities that have not been seen during training, denoted out-of-knowledge-base or OOKB entities. An incremental method is presented, composed of six stages. Although the proposal can be applied to any KG embedding model, this work focuses on its application for semantic matching models, such as ComplEx and DistMult. Compared to other approaches, our proposal is model-agnostic, computationally inexpensive, and does not require retraining. The results show that triple classification accuracy scales up to 15% with the proposed approach, as well as accelerating the convergence of the model to its optimal solution. Furthermore, facts containing OOKB entities can be classified with a reasonable accuracy. © 2021 Elsevier Inc.",Information Sciences,10.1016/j.ins.2021.02.018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102271445&doi=10.1016%2fj.ins.2021.02.018&partnerID=40&md5=45df46e472c45e6d29b8a28ce0877665,2021,2021-07-20 15:49:37,2021-07-20 15:49:37
3EYNX8S6,journalArticle,2021,"Tan, G.; Wei, P.; He, Y.; Xu, H.; Shi, X.",Solving the playing strategy of Dou Dizhu using convolutional neural network: A residual learning approach,"Poker is the typical game of incomplete information, and remains a longstanding challenge problem in artificial intelligence (AI). The game of Dou Dizhu has been viewed as a thorny topic in AI since it is featured with hidden information and large branching factors, and the cooperation and competition should also be handled. In this article, deep learning is adopted to train a supervised learning playing strategy network (PSN) for Dou Dizhu directly from expert human playing. Through experiments, it was found that the sample design with the appropriate historical playing hand sequence and more features of the playing situation, can help the PSN learn more competitive and accurate playing strategies faster. In the online game platform, the strategy network-based game agent reaches an average winning rate of 52.22% against the human players. In addition, the analysis of the gameplay data against human players shows that the playing strategy network has learned the rules of playing and the characteristics of card recognition and reasonable demolition, cooperation and reasoning. Finally, we improve the performance of the PSN in the aspect of sample design. Then, the experimental results show that with proper marking of the number of remaining hands, the performance of the PSN can be enhanced. © 2021 - IOS Press. All rights reserved.",Journal of Computational Methods in Sciences and Engineering,10.3233/JCM-204344,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103680637&doi=10.3233%2fJCM-204344&partnerID=40&md5=ba499f31271579ee7c0ee2ce9eac6c9e,2021,2021-07-20 15:49:37,2021-07-20 15:49:37
5SI58X45,journalArticle,2020,"Zhu, W.; Wang, X.; Gao, W.",Multimedia Intelligence: When Multimedia Meets Artificial Intelligence,"Owing to the rich emerging multimedia applications and services in the past decade, super large amount of multimedia data has been produced for the purpose of advanced research in multimedia. Furthermore, multimedia research has made great progress on image/video content analysis, multimedia search and recommendation, multimedia streaming, multimedia content delivery etc. At the same time, Artificial Intelligence (AI) has undergone a 'new' wave of development since being officially regarded as an academic discipline in 1950s, which should give credits to the extreme success of deep learning. Thus, one question naturally arises: What happens when multimedia meets Artificial Intelligence? To answer this question, we introduce the concept of Multimedia Intelligence through investigating the mutual-influence between multimedia and Artificial Intelligence. We explore the mutual influences between multimedia and Artificial Intelligence from two aspects: i) multimedia drives Artificial Intelligence to experience a paradigm shift towards more explainability and ii) Artificial Intelligence in turn injects new ways of thinking for multimedia research. As such, these two aspects form a loop in which multimedia and Artificial Intelligence interactively enhance each other. In this paper, we discuss what and how efforts have been done in literature and share our insights on research directions that deserve further study to produce potentially profound impact on multimedia intelligence. © 1999-2012 IEEE.",IEEE Transactions on Multimedia,10.1109/TMM.2020.2969791,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090119559&doi=10.1109%2fTMM.2020.2969791&partnerID=40&md5=116ca795a48d9f639dd033539d39261d,2020,2021-07-20 15:49:37,2021-07-20 15:49:37
XGBCUV7K,journalArticle,2020,"Meher, S.K.","Granular space, knowledge-encoded deep learning architecture and remote sensing image classification","Hand-crafted features of remotely sensed (RS) image require the involvement of expensive human experts for classification. This factor motivates for designing the classification model with representative feature learning-based deep architecture to automate the feature extraction process and improve the generalization capability of the model. With this reasoning, we propose a deep auto-encoder neural network (NN) architecture with knowledge-encoded granular space for the classification of RS images. The network works with wavelet-rough granulated spaces and its architecture is designed with the encoded domain knowledge that strategically initializes the network parameters. Mostly, the learning time and performance of deep auto-encoders are persuaded by randomly selected weights and thus, we aim here to minimize these efforts with the domain knowledge. Neighborhood rough sets (NRS) are used to encode the domain knowledge and explore the contextual information for improved decision. We perform the knowledge-encoding operation for all stages of the auto-encoder. The proposed model thus exploits the mutual merits of deep network, wavelet-rough granular space and knowledge-encoding method. Comparative experimental results with multispectral and hyperspectral RS images demonstrate the superiority of our model to the related advanced methods. © 2020 Elsevier Ltd",Engineering Applications of Artificial Intelligence,10.1016/j.engappai.2020.103647,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083331590&doi=10.1016%2fj.engappai.2020.103647&partnerID=40&md5=006dc47f33cd1ea7d4b48e7b3296810e,2020,2021-07-20 15:49:37,2021-07-20 15:49:37
JI5LLKGL,journalArticle,2020,"Mueller, C.A.; Birk, A.",Visual Object Categorization Based on Hierarchical Shape Motifs Learned From Noisy Point Cloud Decompositions,"Object shape is a key cue that contributes to the semantic understanding of objects. In this work we focus on the categorization of real-world object point clouds to particular shape types. Therein surface description and representation of object shape structure have significant influence on shape categorization accuracy, when dealing with real-world scenes featuring noisy, partial and occluded object observations. An unsupervised hierarchical learning procedure is utilized here to symbolically describe surface characteristics on multiple semantic levels. Furthermore, a constellation model is proposed that hierarchically decomposes objects. The decompositions are described as constellations of symbols (shape motifs) in a gradual order, hence reflecting shape structure from local to global, i.e., from parts over groups of parts to entire objects. The combination of this multi-level description of surfaces and the hierarchical decomposition of shapes leads to a representation which allows to conceptualize shapes. An object discrimination has been observed in experiments with seven categories featuring instances with sensor noise, occlusions as well as inter-category and intra-category similarities. Experiments include the evaluation of the proposed description and shape decomposition approach, and comparisons to Fast Point Feature Histograms, a Vocabulary Tree and a neural network-based Deep Learning method. Furthermore, experiments are conducted with alternative datasets which analyze the generalization capability of the proposed approach. © 2019, Springer Nature B.V.",Journal of Intelligent and Robotic Systems: Theory and Applications,10.1007/s10846-019-01016-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065714332&doi=10.1007%2fs10846-019-01016-y&partnerID=40&md5=19df65c12551a4eee92d51c25253713f,2020,2021-07-20 15:49:37,2021-07-20 15:49:37
A6DLQ7CW,journalArticle,2020,"Umer, M.; Imtiaz, Z.; Ullah, S.; Mehmood, A.; Choi, G.S.; On, B.-W.",Fake news stance detection using deep learning architecture (CNN-LSTM),"Society and individuals are negatively influenced both politically and socially by the widespread increase of fake news either way generated by humans or machines. In the era of social networks, the quick rotation of news makes it challenging to evaluate its reliability promptly. Therefore, automated fake news detection tools have become a crucial requirement. To address the aforementioned issue, a hybrid Neural Network architecture, that combines the capabilities of CNN and LSTM, is used with two different dimensionality reduction approaches, Principle Component Analysis (PCA) and Chi-Square. This work proposed to employ the dimensionality reduction techniques to reduce the dimensionality of the feature vectors before passing them to the classifier. To develop the reasoning, this work acquired a dataset from the Fake News Challenges (FNC) website which has four types of stances: agree, disagree, discuss, and unrelated. The nonlinear features are fed to PCA and chi-square which provides more contextual features for fake news detection. The motivation of this research is to determine the relative stance of a news article towards its headline. The proposed model improves results by 4% and 20% in terms of Accuracy and F1-score. The experimental results show that PCA outperforms than Chi-square and state-of-the-art methods with 97.8% accuracy. © 2013 IEEE.",IEEE Access,10.1109/ACCESS.2020.3019735,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091199880&doi=10.1109%2fACCESS.2020.3019735&partnerID=40&md5=bf69e43067b115bc1437491c0e29df39,2020,2021-07-20 15:49:38,2021-07-20 15:49:38
